"","f(3)","f(9)","f(15)","f(20)","f(27)","f(33)","f(39)","f(45)","f(51)","f(57)","f(63)","f(69)","f(75)","f(81)","f(87)","f(93)","f(99)","f(105)","f(110)","f(117)","f(123)","f(129)","f(135)","f(141)","f(147)","f(153)","f(159)","f(165)","f(171)","f(177)","f(183)","f(189)","f(194)","f(201)","f(207)","f(213)","f(219)","f(225)","f(231)","f(237)","f(243)","f(248)","f(255)","f(261)","f(267)","f(273)","f(279)","f(285)","f(291)","f(297)","f(303)","f(309)","f(315)","f(321)","f(327)","f(333)","f(339)","f(345)","f(351)","f(357)","f(363)","f(369)","f(375)","f(381)","f(387)","f(393)","f(399)","f(405)","f(411)","f(417)","f(423)","f(429)","f(435)","f(441)","f(447)","f(453)","f(459)","f(465)","f(471)","f(477)","f(483)","f(489)","f(495)","f(501)","f(507)","f(513)","f(519)","f(525)","f(531)","f(537)","f(543)","f(549)","f(555)","f(561)","f(567)","f(573)","f(579)","f(585)","row means"
"block 0",0.266199576161769,-0.792507732392225,-0.682199294457705,-0.277675614634388,-1.32971914898178,-1.00830037609738,-1.058927822565,-0.238287988383752,-1.68542861067526,-1.10597251608765,-3.16295461827644,-2.5247787338998,-1.89944140093054,-2.19499659483497,-2.94545425917126,-2.29928439470374,-2.17388745961774,-2.69584588467909,-2.6761587019018,-3.34819700233038,-2.70604733979355,-3.3163033708773,-5.69147919652751,-5.15014629512527,-3.69539426879874,-3.5001520156452,-2.87130578761152,-4.4923204770949,-3.65266412953997,-3.43963564881339,-2.66342793481714,-3.1924535256872,-2.8435379269717,-4.08081167922176,-3.09625151904086,-3.53673403227694,-3.85429420043491,-4.30244318901729,-3.31443620142678,-4.29293732610466,-3.82388366113241,-3.21220543148575,-3.76033552915779,-4.04296712339206,-4.27265157839008,-4.00242066856823,-4.68046920853136,-4.69820825287436,-4.7783490102201,-4.91779627951112,-4.77544559861265,-4.07005546446433,-4.55629988630707,-5.09932428625691,-4.94180437855613,-4.60125181968263,-5.75641143962022,-5.79768864265619,-5.27203381808662,-6.21257183118233,-5.61891199766059,-5.99072160630082,-5.72365614755148,-6.50013986645875,-6.1026955022601,-6.33577778833044,-5.94430682126918,-7.36324022356855,-7.48357577816085,-6.5295066388873,-6.42382353258559,-6.34687131592785,-5.94823976735078,-5.92172584792881,-5.85133762852297,-6.82487169976894,-7.18127508191429,-5.92035046044012,-5.34773121129307,-6.59423214945089,-6.3272040369335,-5.54783711134613,-6.65220830318992,-5.88838207613502,-7.14018936297656,-6.56989281328042,-6.6817728714331,-6.63562646992832,-6.75999885713045,-6.05508711001828,-5.77148031516719,-8.02617679700069,-6.4553911222494,-7.11460479066374,-6.69349022220822,-5.63443846661269,-5.94912228690207,-6.58976412175681,-4.52290231380141
"block 1",0.038371937029017,-1.19345095465092,-1.23830074527265,-1.28601915693354,-0.88532147711265,-1.02374348612687,-1.44480127668164,-0.723585766724252,-0.244877499593505,-1.27288432170511,-0.858988264016143,-2.44237590785926,-2.82031579241377,-1.50087196357356,-1.68483541507799,-2.89239817780374,-2.75769833449861,-2.427698873889,-2.74953370620429,-2.96476992273279,-2.7872265478911,-4.20973404196608,-4.78560098158674,-4.75903156028252,-5.51814895169597,-4.37280815839857,-3.5955821280504,-2.99479338060895,-3.4260923701549,-3.92604603670997,-3.48695732682193,-3.20676585382397,-3.13246137819855,-2.99805575653412,-3.84176921475183,-3.58715652237541,-3.74169486050104,-4.12017193699711,-4.14805754067881,-4.13515933913402,-4.84973589588815,-3.71404899391779,-3.73102484209462,-4.59969774333387,-4.63592461013952,-3.67772340510824,-3.72146175013906,-4.19540196999001,-4.66482796983208,-3.99936221909404,-4.14115355842723,-5.90193493851954,-5.00246038813247,-4.57246829423714,-4.63259070782198,-5.80426114110106,-5.39422009325293,-5.86501598016591,-5.55309877204639,-5.73951090438665,-6.09156297089127,-5.56468526235848,-6.57975141008416,-5.74024659300651,-6.33395647224853,-5.90230637288909,-6.69633659669627,-6.29102066058736,-7.30696470676182,-6.80495146475538,-6.47609862234878,-6.33237909940538,-6.20632129693749,-6.83237710406381,-7.17855610962005,-7.23178169807402,-6.30252680400087,-6.58307474232153,-6.10722695342727,-6.92226758020832,-6.29467183772685,-5.57163426246522,-6.41680885493127,-5.34903283162736,-6.27594114437612,-6.0363386409016,-6.44235198410314,-6.09259923734804,-7.1988790886874,-6.81438327193841,-6.11244442674928,-6.45909521748468,-6.11315906300684,-6.49271144858175,-6.44014486880124,-5.33426292719481,-6.03215657261891,-6.76178582964395,-4.54353195101536
"block 2",1.28191885795236,0.387382505931066,-1.01241415233544,-0.924206629806521,-1.53407256401954,-2.03198831339279,-2.22296070605283,-1.02440950200646,-1.5192312104644,-1.53706585696257,-2.39865591985841,-2.17519387180374,-2.46315911382266,-2.57022679464453,-1.96461805555965,-2.67591884940595,-2.419778526125,-2.65557750060649,-3.65572105371294,-3.14737872552715,-3.88831694836557,-3.70632957453543,-5.23413473623623,-5.5470929927426,-4.90680152024258,-4.48548054307967,-3.86980800627105,-3.98536491370711,-2.61793516762617,-3.25335306540513,-3.60470933427182,-3.43363640946916,-3.41690604799905,-4.10797756406559,-3.82381314603191,-3.88355369803314,-4.00833824695416,-3.82669051976385,-3.07517229370963,-4.21482403072266,-4.50663277305203,-3.82472212592005,-4.58552175330404,-4.73341559006989,-3.46441123896896,-4.04126219459789,-4.51735697779981,-4.67754923563871,-5.04102641325029,-5.43857741626425,-5.04580266093042,-5.31525612091526,-4.72096533935158,-5.67850186850232,-5.59218098565603,-6.02363573125209,-6.20948543763439,-5.43862706523161,-6.24128719134192,-5.35226344616217,-5.38788760970295,-5.39127923119222,-5.57073361069194,-6.07232349654795,-6.08403109016477,-6.45136737354538,-5.99498956287583,-6.93514001425793,-6.90373277144711,-6.97844818102372,-7.10450715671109,-6.57999711675191,-6.03185171935342,-6.40584898167,-6.67781513051632,-5.97329091788739,-6.16356599678334,-6.30594785338142,-6.11075391048972,-6.94102367100817,-5.80724836281896,-6.04706621974484,-6.72081541606175,-6.27488487965586,-6.35055616770115,-7.58050643426239,-6.36366666874584,-6.26449461344899,-6.80380086103279,-6.77942851254348,-5.96792854278541,-5.85128641835598,-6.97552112001922,-6.99995774046997,-6.47079131911594,-5.49557874240638,-6.42462798837749,-7.23404523267262,-4.6742728259543
"block 3",1.44977186704215,0.279444897049049,0.0897944599464538,-0.138171297624237,-0.590085881838824,-1.30124422905983,-2.70672755013224,-1.27268599356639,-1.69050955184491,-1.35736271253724,-1.2707044743449,-1.96559767818748,-3.40537543205421,-2.54085643992855,-2.37821054127293,-3.48610975923574,-2.49627524993261,-2.784976474921,-2.60091871918938,-4.07145099703279,-2.83456568908434,-3.71625829040154,-5.6844823440149,-5.82122198451092,-3.83901774687049,-3.69091128960053,-2.76391712863321,-3.18389665408526,-3.77088709852567,-3.20668145799734,-3.0046628205507,-3.60488862457152,-4.15516951988201,-3.29092680078944,-3.60861093197723,-3.8420600545328,-3.87638326962349,-4.30348166226541,-3.34994893548602,-3.4420051979826,-4.55859458039777,-5.05300131169167,-4.99307199737154,-4.68287185202501,-4.47429307786994,-4.89080773144255,-5.24379083349651,-4.73290265826959,-4.3711855949323,-5.52401964615592,-5.02167092518241,-4.92495957618033,-5.10558998587792,-4.94662872373627,-5.7663912203085,-5.71480938686849,-5.73134299939239,-5.73602952552321,-5.40405967181217,-5.83519915578666,-5.99808824034881,-6.78095835488399,-5.71964281270438,-6.70306254435816,-5.36826960612096,-6.00103177213795,-5.95938939386371,-6.4055880976033,-6.99263757753634,-7.0217938686327,-7.36858248154119,-6.09875926703115,-6.94092417040264,-6.7318585663799,-6.50945586559571,-6.26495167623672,-6.76934640513168,-6.88011985743414,-5.36787390615494,-6.38030959537713,-6.43264170097483,-5.34801492454035,-6.44689172547924,-5.99565714142471,-7.20382682332267,-6.90706129976559,-6.53381176704438,-6.00211641563191,-6.07358909213838,-5.59874936951999,-5.87115334908599,-6.61388342139007,-6.33895760796028,-6.3966110527034,-6.86134212342336,-5.34033016598864,-6.23641497059163,-7.34960701709639,-4.63013014022377
"block 4",2.39662184246301,0.977355554499596,-0.712791280361173,-1.15822075812773,-0.0258955793536171,-1.33023922181275,-2.08495524791975,-2.22600912451675,-1.68479567846029,-2.29096860189914,-2.56214153403201,-2.03618271029486,-2.41189310136864,-2.52528042002821,-1.90013568978816,-2.4910250885165,-2.94928632801302,-3.28286230300055,-4.1261115358839,-3.49525792976545,-3.65830593075362,-4.38397451958908,-4.9891101937113,-6.04530050734932,-3.85095582589851,-4.03201565247195,-3.61326775697985,-4.21912252859506,-4.06437433038457,-2.86067742550672,-3.64171660327428,-3.84598771159962,-4.0136570048855,-3.43513800605684,-3.78388083344274,-3.93660480608819,-3.15662481748692,-4.02501999402049,-4.06770695924126,-4.11314655238816,-4.00310013830934,-3.53481492047295,-4.81684430109494,-4.62179784061249,-4.1911936622446,-4.0272233783573,-3.96330936460485,-4.42404366849316,-5.84344864042882,-4.78894417690233,-5.87656410737139,-5.11262995294527,-5.43502975934404,-5.24270996596259,-5.69150171080657,-6.00241815640237,-5.13276093719456,-5.14545979658681,-6.55281848162029,-5.84721363442148,-5.75469550960924,-6.78285279548464,-6.12121263886624,-6.32502417875912,-6.27844123995569,-6.16528139019037,-6.00941484992316,-6.4660596539951,-7.05783138537306,-7.68593708950624,-6.38670859067964,-6.13651409058843,-6.67702362920274,-5.95712607394165,-6.33030342298209,-6.73017545246959,-7.11179303816106,-7.07364613862529,-6.88743515165239,-5.79666055202316,-6.06968436937373,-5.49937698067338,-7.21963625906955,-5.8861884516339,-6.68844298285432,-6.35876759378858,-6.33170107116475,-5.98247846804576,-6.47218763552804,-5.72104065245968,-6.90324642077333,-7.1956703539376,-6.74556057185479,-6.06331283618161,-6.52115981511968,-5.16144265545215,-5.57264921088718,-7.10746102306117,-4.68514932157069
"block 5",1.55906935638288,1.47640100970619,-0.708061549219879,-0.490908459006459,0.0649819209026303,-1.08286990248703,-0.886400048847199,-2.57282946189982,-1.63032472072946,-1.80786674265617,-1.85547060612847,-2.7475277310644,-2.73246801884295,-2.48321116081124,-3.23126623701248,-2.92485424051696,-1.80797796432102,-2.59838230443401,-2.77855725578965,-3.57911394179739,-3.61176540477524,-4.68811821194873,-6.33943608709442,-5.66927575126703,-4.200281718572,-4.76506802256997,-3.31483816492079,-3.56117173081018,-3.55018948725326,-2.42870944340338,-3.71078393277216,-2.99266069225882,-3.77215109462749,-4.17059349717108,-3.92798968481809,-4.05034125248507,-3.61234122147991,-4.71230225832756,-4.68604756295787,-4.43618476462586,-3.93009572039012,-4.29311769066007,-4.28124883166292,-3.99747886588986,-5.66128132495642,-4.93329306159969,-3.9079875237352,-4.0824702556081,-4.32269536562079,-5.54372971369395,-6.02181884200462,-5.63521204617556,-6.56345579311296,-5.14769276611682,-5.38337147779463,-5.97065881226459,-6.69177607145906,-5.38264988665841,-6.38944796311484,-5.42250813741737,-5.98821957192337,-5.80326679145917,-5.73999754994043,-5.82380309046664,-6.73308802726566,-5.80751315613615,-6.65366673593394,-7.67435709722998,-6.40185318093327,-7.24154236648458,-6.80122076675618,-6.28901999556231,-6.56881229383961,-6.87072432830256,-6.11231493663094,-7.30114454154504,-6.29741769219209,-6.3477202801042,-5.86451906193915,-6.23725466926334,-5.91227880203973,-6.12738668488002,-6.3031286988416,-6.0664214088261,-6.50745205838609,-6.06165692502859,-7.11367589647515,-5.74291416852381,-7.11824753885621,-6.28011680684516,-5.9453381204271,-6.52598663331193,-6.16083603025686,-6.93530876754398,-5.92978527515048,-5.43547604859805,-5.34645639276601,-6.49751178603122,-4.68517665683004
"block 6",2.75718701038791,1.87850023347043,0.869691933333632,-0.262045664837869,-0.666642762170367,-1.28158357927259,-1.42746474664976,-0.810914996951336,-1.96677673030938,-1.40992378158211,-2.2386344702019,-1.3959094228559,-1.68348200037217,-2.53090692608948,-2.42682212142766,-3.32238439493397,-2.09536741387789,-2.82797691824142,-3.24071106023303,-3.5078625763349,-3.19504234592275,-4.0722535202441,-5.16610153414492,-5.82543362090874,-3.95862794844672,-4.33788618829858,-3.10596891768994,-3.61208216275181,-3.43296509772965,-2.98063976713388,-4.33029765827188,-4.39575234280411,-3.63207556696004,-3.72080758021302,-3.81700195191567,-4.02919958290169,-3.66030464071809,-3.58753209621502,-4.84302514519624,-4.72662348059383,-5.38125051999802,-4.13740878881891,-4.17453690675413,-4.43566752541322,-3.77035604072629,-5.12001389596058,-4.90265877314056,-4.87805430172191,-4.71329187899566,-5.04338913219977,-5.76743035018162,-4.91274443940578,-5.0200258455403,-5.75926076087331,-5.78467656628419,-5.72113736734682,-5.92375090026791,-5.09448160017412,-5.76464177381648,-6.39393619639515,-5.65666415723984,-5.81269843841337,-5.50098514467795,-6.12868031472372,-6.61435673235635,-6.85509277572085,-6.23729132742259,-6.32640461855711,-6.75607547424959,-7.31725037322778,-6.4292625592499,-7.15972255526371,-6.76260695699568,-7.51696226128438,-6.24983643400842,-6.54094464496106,-7.30059149016089,-6.21558471331343,-5.71074318556514,-5.76948278654775,-5.82002202903187,-5.42486327557717,-7.23588319593606,-5.77681491681309,-7.03380608023083,-7.40627944999049,-6.6169756399119,-6.14319866598476,-7.31102207623811,-5.89480634910996,-6.04705337040636,-6.50693635747525,-6.89691203608009,-6.9501671379086,-6.57327643266421,-5.22923597602524,-6.20287370273176,-7.37347685945846,-4.65329801630346
"block 7",0.431487706799146,-0.0337628636606004,0.25399344164524,-0.502086996758957,-0.25838768162579,-0.850180110559335,-0.436911523119169,-2.24512147713759,-2.23464635911414,-1.55443010622147,-1.89890778160449,-2.8776319715866,-2.46610800408384,-2.8761839020596,-2.33900261610249,-2.47599202006907,-1.86688641790498,-3.04459106267447,-4.08451370364726,-3.42495603803405,-3.49486611668915,-3.89122183874015,-4.65184342385583,-5.47536868919028,-4.11149255632627,-4.09655245338976,-3.86889498892367,-3.67803337729292,-3.3609498918344,-3.41650772382833,-4.12061834891691,-3.57115182694824,-2.9254205597855,-3.78554667500838,-3.06826356800284,-4.05534942510356,-3.12876339652102,-3.65674366875886,-3.78425636233585,-4.31249244222828,-3.92892563606329,-4.27734291694124,-4.50098639540295,-4.70171511851524,-4.15774167723136,-5.13939215984552,-4.47508637642161,-4.26418046210794,-4.82656764555779,-5.48045297985489,-5.01135381089105,-5.44499561013252,-5.26483984640637,-5.5233756106942,-5.15230363492678,-6.30159353896822,-5.98018522831801,-5.43512310147469,-6.02163674248468,-5.93240701207342,-5.79483505718378,-7.47533747653963,-5.94031917671157,-6.17297080861405,-6.31250980678913,-5.93652102363696,-5.92609849781708,-6.80718310077519,-6.99614180404134,-6.9590694910898,-6.45925309888947,-6.54373215824014,-6.43011196349981,-6.48025098829536,-6.05253701296688,-5.85961989956133,-6.68640400101858,-6.44010743282719,-6.20521587626629,-7.21698343496917,-6.33034228825064,-6.32607014678005,-6.22562835164684,-5.86439256273203,-7.13934176234551,-7.03241023712581,-5.99565456128064,-6.30263281973994,-6.33143447599525,-6.31709682638919,-6.27358336634352,-7.02838111685276,-7.03907840197154,-6.30566481300988,-5.71750135160102,-5.51300076088287,-6.18942437935531,-7.04832325610159,-4.66055638687396
"block 8",0.0335527879667135,-1.20744694809039,-0.773504608278325,-0.660446764934871,-0.898814109501363,-1.51527345551702,-0.768196078252404,-1.66247428849188,-1.50208227891844,-1.63564247593609,-1.40571727342765,-0.947030691072366,-1.78273826788519,-2.02282063231021,-1.70488186965953,-2.20062246189506,-1.92436546274879,-2.39225944603981,-3.12688523685668,-2.94362177018064,-3.12253396132272,-3.83008202611428,-5.40688122709679,-5.74628224507793,-4.65953130948146,-3.56507231170936,-3.40362041470572,-2.52037286367749,-3.39171206325013,-3.19645689953629,-3.74556212090531,-3.58001317359504,-3.20042711364375,-3.66822174054324,-2.87309338846264,-3.23458370957965,-5.06912124851668,-3.59643826961274,-4.25407338983956,-4.01075476194998,-4.19441287187576,-4.57485970454873,-4.11980006578054,-3.81430109781801,-4.14812785955337,-4.88630519721181,-4.23123013278776,-4.31540443980098,-4.43667159078758,-4.99251177582867,-5.04419774349572,-4.60461953745181,-5.4400238736518,-5.1993368161197,-6.33509416803094,-5.79491823127268,-5.56634586490567,-6.17610936384259,-5.56944106722674,-5.09603736774896,-5.12581719250833,-5.07554500752864,-5.89091847385088,-6.4079487871581,-5.69442687842792,-6.13024668863686,-5.75011624202609,-6.78780401227822,-7.29756162010836,-7.18619625437554,-7.05424313111688,-6.474758943273,-6.97435110081953,-7.20393490460992,-6.6562976147786,-6.55421797358484,-6.63425815457135,-6.52040727271048,-6.15862425014338,-7.38765719228468,-6.05588177334368,-4.95482486125141,-6.73580201923916,-6.43882024141669,-6.94819322146736,-6.45360146913809,-6.13064775100571,-6.13384553385143,-6.12101127261642,-6.24893438116402,-6.08798650158867,-6.75698556409798,-6.22564258989566,-6.91958238310628,-5.87867007239378,-5.77769362047245,-5.35536375944632,-6.96978340330806,-4.55933118830597
"block 9",1.43788537926684,0.506731123705176,0.660303426734168,-0.373937528423102,-0.498557356298402,-1.06905036980731,-1.95628971731197,-1.77469157160249,-2.32115473733979,-2.40321156223002,-1.49517344579045,-3.30428917830935,-2.47038907488704,-2.94519395630249,-2.17870762548713,-2.28406516156173,-2.95640916415356,-2.08864066759027,-3.18573545394376,-3.07131763954538,-4.02836116696592,-4.07529632535101,-4.90808783032834,-6.83085850121345,-3.46057204836251,-4.04880665993823,-4.14069963681531,-3.00110879105674,-3.77215087217842,-4.11365052715877,-3.7330116919569,-3.54630810825774,-3.76402787971583,-4.26098525905582,-4.51860325306143,-5.16811472629328,-4.15128420992944,-4.41120585924861,-4.60965655005676,-4.15311608699955,-4.00743718838344,-4.60846452575488,-4.07059716026143,-4.25942808121945,-4.46042015386125,-4.15598038820389,-4.33536356493878,-4.74745908951405,-4.05684736932476,-4.80736026863464,-4.56271350152741,-5.67637452225753,-5.24755373582447,-5.28534714679256,-5.18889534956683,-5.08212278025269,-6.10171249586619,-6.05778697189676,-5.27097512101818,-5.64870840353958,-6.60512716704351,-6.06564677052085,-6.16158533166466,-5.86005828760055,-6.12535523639862,-6.8270053026277,-6.42910766416355,-6.71677361759841,-7.09437818854072,-6.70583994754889,-6.77517762047047,-6.53056293608995,-6.68356202059624,-6.95955726393793,-6.17471993114863,-6.61809679265739,-6.82861724944979,-5.83647930801799,-6.11572819200598,-6.51704273933588,-6.85534026991399,-5.31681305431643,-5.50254431798955,-6.03497994934914,-7.36742017109483,-6.57429988371956,-6.08710108306807,-5.88651777303657,-7.08393411802525,-6.20557674860528,-6.22912505345017,-6.89901406900639,-6.82046901469968,-7.15858167211912,-6.62669107125817,-5.34399048528741,-5.35829202146882,-6.64466438417808,-4.69107270195372
"block 10",1.93499154021129,1.02126861350913,0.950128717943332,-0.69348415194268,-1.36403197204964,-1.19030426142755,-1.99496892379525,-1.53162246605292,-1.42882616165799,-2.01682127180145,-1.6733409166282,-3.13469671295401,-2.74457683945999,-1.75738829065637,-3.01431536426293,-2.39105954389305,-2.79468162861009,-1.82060215807715,-4.49601996329803,-4.07642209999864,-3.47109714346528,-3.06160520387474,-5.08877856322253,-6.51642483670796,-4.95896365234046,-3.8790285686067,-4.19542371491503,-2.59206288470977,-4.26425996945887,-4.03853615300416,-3.41022788394931,-4.15610451689558,-4.27757870128946,-3.31079798434621,-3.67646345785434,-3.5471714246509,-3.58312221631516,-3.87168657028184,-3.14709661789356,-4.19106161652352,-3.6258201332119,-4.05828989260113,-4.33475987504808,-3.82331247913554,-4.75662989166474,-4.87109440448671,-5.1795406425945,-4.44471009336362,-4.96710434247857,-5.76802913973248,-5.57579577084468,-5.46636874882972,-4.72396004248642,-5.13344790361996,-5.94611237585237,-5.20429134953543,-6.07317880844711,-6.04355000530508,-5.73684990195072,-5.77614240423664,-5.46851772850328,-6.5108036300121,-6.50551473771537,-5.56050431178989,-5.64059418633901,-6.75297294614544,-6.22748771603788,-6.16193266914158,-7.14560802708337,-7.44726262815738,-6.90306021068181,-6.47660235593933,-6.56660861155818,-7.26811648525668,-6.33174816138226,-7.37732976924429,-6.09377170884306,-6.94380539447903,-5.81478896752087,-6.39309628876033,-6.78990430485017,-5.39746830309972,-6.39023386177016,-6.17633167598061,-6.34317147639167,-6.69625053249846,-6.37276252951709,-6.23555863300737,-7.1160399886089,-6.94309493201513,-5.94839013540216,-6.70573912995351,-6.58778726698599,-6.21562471726667,-7.04440404143712,-5.57398279129129,-6.64148165451191,-6.44342377429482,-4.69566357167456
"block 11",1.86187658992504,0.216182882819088,-0.201630534184917,-0.884538029540155,-0.637144884832702,-1.4736046748458,-1.32232656115242,-2.74663220745695,-1.69392320341047,-1.13197370373842,-1.17781902925296,-3.15980555220101,-2.28771460126081,-2.14346076324687,-2.63743567341355,-3.35670297020003,-3.17009075730407,-3.27395017259634,-3.48369017562676,-2.37631016752822,-3.3328505287992,-4.86168896652174,-5.62517323693888,-5.99579057631276,-4.39895784701115,-3.91489533563099,-3.09699599128308,-3.73948266686746,-3.42335505664913,-4.39686991382905,-3.61213012076774,-3.43981874522893,-4.54271232955502,-4.49967776369703,-4.44616508580319,-3.31048505213829,-5.2210200084403,-3.95153859788142,-4.78340258600016,-3.99555733552946,-4.92519983651245,-4.25583835558617,-4.59244232768749,-4.92937720413296,-5.3354913111465,-3.94993275594203,-4.97141841336087,-4.68887905784205,-4.93989398104869,-4.75778021356848,-5.1229949731576,-5.15391480264794,-5.95521036594744,-6.05914577957738,-5.81032953735649,-4.95511299103831,-5.87487701878926,-5.5465275327587,-5.82780864761051,-6.01315868593399,-5.79361350222512,-5.89947778819421,-6.06063983722692,-6.33550737789799,-5.48314889069643,-7.10413343954191,-7.15091230972248,-7.06465070810176,-5.63284468084997,-7.06047432911245,-6.49410591301866,-6.48670281101722,-7.26050987126542,-7.42614120087635,-6.30181927528782,-6.34176321141176,-6.49084397821086,-6.07549444158494,-5.82921480561338,-7.70005229731884,-6.15080484438298,-6.11761234084266,-6.07957807463107,-6.37667665166456,-6.91995931171299,-6.47012282576163,-6.23258435960203,-6.34914811583701,-6.79027878316713,-6.31602815499621,-6.61026278442352,-6.87528389432633,-6.21447413612875,-6.48626414014097,-6.2218537549319,-4.95812232851183,-5.55992862463116,-7.9465734953142,-4.77553268383429
"block 12",1.40497893537774,0.886813271953262,-0.40605777165733,-1.00434071445152,-0.665719652253704,-1.41817580648641,-1.58071974902997,-1.25784559111506,-0.548370061154539,-1.39018278859265,-1.64666529939861,-2.09987002489963,-2.28072873733783,-2.20047341924142,-2.62501781384638,-2.96137272680817,-2.88332277080656,-3.07899666005633,-2.66368928951836,-3.25611316479006,-4.11215373881508,-4.35057195791633,-5.54322312055578,-5.54213541871216,-4.67059979110843,-4.42419215204633,-3.92256667956658,-3.32778803294434,-4.03422562825605,-3.52242299261903,-6.29601514638989,-3.7215803693243,-3.71634337346856,-3.74988322162039,-3.76620802466553,-4.37410013303871,-3.97671886585925,-4.31090496494245,-4.6600447712179,-4.14393400576832,-4.84748015795222,-4.62686903983393,-4.73994349254065,-4.46765307833391,-4.93703573959068,-5.07146749862433,-3.59100230007407,-4.55554072954107,-6.14210817755087,-5.56559707144967,-6.78473247825092,-4.25123718331226,-4.78572726172288,-5.06310950630301,-5.46787181467607,-6.24916866292458,-5.22344968074471,-6.27985298047186,-5.61170274925319,-6.0387089347465,-6.45672017636257,-6.12111693637711,-6.5241794822352,-5.58743168623912,-6.2606220005119,-5.50058532624297,-6.81774275054875,-6.62904251255088,-6.69141562736461,-6.74719084230301,-6.47051703848661,-6.74592984301533,-6.50034718759184,-6.25475428157078,-6.53683065068295,-6.58014873139751,-6.00518212639205,-6.86767232142919,-6.0775499340637,-7.25155302199009,-6.6680324982037,-5.44998829749852,-7.11051836682063,-6.32136953848817,-6.47216524231679,-6.05818496248719,-6.00348038733857,-6.15139377029007,-6.53462925489745,-5.90775723408577,-6.27366739061922,-6.52542278745041,-6.56107208707793,-7.68686553943263,-7.22881809884484,-4.66619051001112,-5.8381588379931,-6.31534319510306,-4.74021766568532
"col means",1.29645487592045,0.338685507219143,-0.223926765858814,-0.665852443617079,-0.714570088395058,-1.27511982976097,-1.53012691934689,-1.54516234122351,-1.55007283105174,-1.60879280322693,-1.81885951022774,-2.37006847592219,-2.41910695267074,-2.33014394336365,-2.38697717554478,-2.75090690688798,-2.48430980599338,-2.69018157129276,-3.29755737352353,-3.32790553658445,-3.40331791251104,-4.01257214216004,-5.31648711348571,-5.763412536877,-4.32533424501195,-4.08560533472199,-3.52022225510509,-3.45443080493861,-3.59705855098778,-3.44462977345734,-3.79693237874354,-3.59131706926648,-3.64557449976788,-3.77534027140945,-3.71139338921756,-3.88888110919212,-3.92615470790618,-4.05201227594867,-4.05560960892619,-4.16675361081161,-4.35250531639745,-4.16699874601794,-4.3616241137047,-4.39305258460704,-4.48196601279567,-4.52053205691914,-4.44005198935577,-4.51575417036658,-4.85415522923295,-5.12519615637617,-5.28859033237521,-5.11310022640291,-5.21701093259275,-5.28541149452247,-5.51485568674135,-5.64810615145461,-5.81996130583788,-5.69222326559584,-5.78583091549098,-5.79295123954084,-5.82620468316944,-6.09803000686656,-6.00301048876317,-6.09366933412466,-6.07934582073347,-6.28998733506016,-6.29206618986927,-6.74070746048041,-6.90466314018849,-7.05272795962344,-6.70358159404125,-6.47704249908506,-6.58086696841641,-6.75610602216293,-6.38181324416336,-6.63064130836922,-6.60504567129461,-6.46233924743607,-5.96903118508733,-6.7005858445029,-6.27031208598805,-5.62530434330891,-6.54151364966206,-6.03461171736517,-6.79926660039822,-6.63118254367295,-6.37739896697618,-6.14788651420569,-6.74731177253244,-6.23708464228389,-6.15705075209399,-6.76691244312643,-6.54883546524516,-6.74809669531758,-6.47753295745769,-5.34336503682576,-5.90053464632936,-6.9447510290785,-4.6551411864636
